ID_POSTULANTE,INSTITUCION
DA3036BE3855EB9A42CE861977D3FEF0,EJERCITO DEL PERU
DA3036BE3855EB9A42CE861977D3FEF0,EJERCITO PERUANO
B14EEF12B79C50B06FFE1AF832812B42,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
2A1E0F8FAE30C9626F94BBADCC53D3E4,COLEGIO AMIGO JESUS
A8391C9DA9731334EC048104A28DE252,EMILIANO PISCULICHS
A17D8A6B77DEF3EF5BBCB5B6AFC22026,INSTITUTO SUPERIOR CATALINA BUENDIA DE PECHO
001A3678CACF4EA11A20F88A8EA80CEA,SENATI - LORETO
A74C9CC33C58DF9F60B24972911D01B7,ESCUELA TECNICA DEL PERU
DCEEC7ACFA091F56E881C53F857626C9,IE
7B7EB29243DEEF56CC6CC710C5A88923,INSTITUTO SUPERIOR TECNOLOGICO DEL ORIENTE
704E1619FC6B7A122D65C5EEC0248768,SAN LUIS GONZAGA DE ICA
7FB2797F75E2A693A670AD53B2D930C6,ESCUELA NACIONAL ARCHIVO 
7FB2797F75E2A693A670AD53B2D930C6,
440CD35C0A346254A040A0F72BA1279C,
0F81B047222C179C20BFEEF2B050F038,HENRY DURAND
74D1F0CE6EFE7118B786DC694997D658,UNIVERSIDAD ALAS PERUANAS
96BA352138A42564C3127AF424B9D7F4,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
60B9C7F418197146DB314C6C64ED4093,INST. ED. ARCÁNGEL SAN GABRIEL DE MIRAFLORES
C9ED368C657CF1624C9FAA25FAC0B914,UNIVERSIDAD SAN ANDRES
C9ED368C657CF1624C9FAA25FAC0B914,MARIA DE LOS ANGELES CIMAS
7D700634E8382D8F76EE00C4D2FB50B4,COLEGIO ALFRED NOBEL
78447F6C644A984BC31FC82C7E1AF394,UNIVERSIDAD TECNOLÓGICA DEL PERÚ
3713EB179878609202F97E30DE4D5126,CIBERTEC
BAFD3408E33FF84EB3445F1F57D94443,
0FED8F3A7B01206E865830667EE747D0,COLEGIO DE LA PNP JUAN LINARES ROJAS
07EB50B47EA6BA64F9F35C41B376F2F1,
07EB50B47EA6BA64F9F35C41B376F2F1,
DEF5D03B16BD1C867A2B94960AAEAD15,SUQUILLO
96A132B46AABF19E7F5B56508BCF15FF,CEBA
4BD03700E288911DD9B8415D3B8C5082,COLEGIO DE APLICACION SAN MARCOS
D09F390B54521C48F8AD9ACBE2A42271,
E391997BD526A092AC4D7F9B50DA8904,COLEGIO EMILIANO PISCULICH RAMIREZ
569500BD188473D1E8EF59F005E7152E,
52CEB0DB8015F6009DC72D4B4A97090A,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL
52CEB0DB8015F6009DC72D4B4A97090A,INICTEL
1767AE3F8FFEC269D9ED0AC0EDE68D90,CERTUS
F9F5044F1AC70110D8A574F3EE5A81A8,CEBA   HIPÓLITO UNANUE 
1F9E836AF3570657BAF6AACB5FBA5712,CEBA PROVOCACIONAL
7FDE0822DEDF00075616F8ACF37C14B6,.
7C7F3B454E07A04ECCDE6899BB5F5F79,UNIVERSIDAD PRIVADA CESAR VALLEJO
A7DD919DAAC1912B0AF5F349EB99DF56,
804470FF5AB9F90642183405E20D9C59,CETPRO- DOMINGO MANDAMIENTO SIPAN
2A90253041D48DAEF5035BDE670EF3F5,COLEGIO CRISTOBAL COLON
6CF8A40E5B98473C342298F52042EB36,INSTITUTO SUPERIOR DE EDUCACIÓN PÚBLICO-LAMAS
A6DA9A03AFF47A0039979BDBCD81B507,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA 
0C2A61D7F49A49DAE4784D836CA846D6,INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO DE UCHIZA
E045464C1E1BD310B8596ED0B87F779A,VIRGEN DE BELEN
E94AABBE2741FEC84CE9FC1339C9E87C,IE
4982A1E5676291E9C1A13D42A13CE79F,
E6EA6FA937F18A0B182D0B64D906868A,UNIVERSIDAD NACIONAL DE TRUJILLO 
169B625BEA9052E54610D4DBDDA5E9D1,EIGER
2A9107054DF6D34D8FCFAFA19F74DD9D,
85E4FA51DE9EF1FE06336E964544F27E,MANUEL SEOANE CORRALES
31AEF6ED6AD67306FF2FEDA94F9C2A80,UNIVERISAD TECONOLOGICA DEL PERU
3A8921F502B6BFDD2FF963EA630BD0E5,JEAN JACQUES ROUSSEAU
AE5FE3F5EFBC6AADBABA339E34ABD017,CORONEL GREGORIO ALBARRACIN
AE5FE3F5EFBC6AADBABA339E34ABD017,INTERAMERICANO
E8D48E35062B5D5053CCD9FFE7105FD6,
108A37460CE1D6F92C7FA028B33579CA,CEPEBANC
108A37460CE1D6F92C7FA028B33579CA,CEPEBANC
3B72758183D3D8A4945A937C4B56555D,CEBE SAN MATIAS DE JESUS
1127DD100759A8281F5F8771D986451A,I.S.T.P. JOSÉ PARDO
D3F0722D62D1F2F74CA2893CB234E9E3,COLEGIO SAGRADO CORAZÓN SOPHIANUM
D3F0722D62D1F2F74CA2893CB234E9E3,ICPNA
1C8DFBA253A598685F253C4A776C5E50,UPC - UNIVERSIDAD DE CIENCIAS APLICADAS
EEBD7630CB41A16ED343BA7140D6C242,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMATICA
EEBD7630CB41A16ED343BA7140D6C242,I.S.T. CESCA
D078B59BDCFBB775D676005D97A28052,COLEGIO PARROQUIAL FE Y ELEGRIA 18
DF6121546E9C44610EA4EE9B7A11C93A,INSTITUTO TECNOLOGICO ARGENTINA
C3E1E20F6EC8413EC33D38B1E9C75DAF,IE COMPLEJO LA ALBORADA
B7DC3089F294AA61EFBE2F1D6161EBA1,"UNIVERSIDAD NACIONAL ""PEDRO RUIZ GALLO"""
